molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_5
CHEMBL3414594;nM;183.0;COc1ccccc1c2cc3c(NCc4ccccn4)ncnc3s2;6.73754891026957;348.10448213200004;6;1;4.374000000000002;yes
CHEMBL3969628;nM;184.0;Clc1cc(Nc2ncnc3cc4OC(=O)N(CCOC(=O)CBr)c4cc23)ccc1N5CCCCC5;6.735182176990462;559.0621939959999;9;1;4.863100000000004;yes
CHEMBL3805089;nM;184.5;CC(C)Oc1cc2ncnc(Nc3ccc(C)c(c3)[N+](=O)[O-])c2c4OCCOc14;6.7340036295049215;396.1433697399999;8;1;4.148420000000002;yes
CHEMBL249921;nM;185.8;OCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1;6.7309542903423765;341.073117936;4;2;3.8998000000000017;yes
CHEMBL3775459;nM;186.9;Cc1cccc(Nc2ncnc3cc4OCC(=O)N(CCCN5CCOCC5)c4cc23)c1;6.728390698621168;433.211389724;7;1;3.129520000000002;yes
CHEMBL513716;nM;187.0;NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4c(F)cccc4F)c3s2)cc1;6.7281583934635005;434.04312206400004;8;3;3.499100000000001;yes
CHEMBL204268;nM;187.0;COc1cc(OC2CCOC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1;6.7281583934635005;389.0942473040001;6;1;4.342200000000004;yes
CHEMBL3752404;nM;189.49;FC(F)(F)c1cc(NC(=O)Nc2ccncc2)cc(c1)c3cccnc3;6.722413704215237;358.10414569600005;3;2;4.806400000000003;yes
CHEMBL247711;nM;190.0;COc1cn2ncnc(Nc3ccc4c(cnn4Cc5cccc(F)c5)c3)c2c1CN6CCCNCC6;6.721246399047171;500.24483576800003;9;2;3.813900000000002;yes
CHEMBL2425088;nM;190.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CC5(CCO5)C4;6.721246399047171;444.13644646399996;7;1;4.028000000000003;yes
CHEMBL453398;nM;190.0;Clc1cc(Nc2ncnc3cc(C#C[C@@H]4C[C@H](CN4)OC(=O)N5CCOCC5)sc23)ccc1Oc6ccccn6;6.721246399047171;576.1346519599999;10;2;4.826400000000003;yes
CHEMBL3612562;nM;190.0;COCCN1C(=O)Oc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12;6.721246399047171;360.12224037199996;7;1;2.9090000000000016;yes
CHEMBL246073;nM;190.0;Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc23)c1;6.721246399047171;485.233936736;8;2;4.526200000000004;yes
CHEMBL247915;nM;190.0;NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccnc6)c4)c23)CC1;6.721246399047171;453.2389418640001;9;2;3.189000000000001;yes
CHEMBL392774;nM;190.0;COC1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)C1;6.721246399047171;500.24483576800003;9;2;3.430200000000001;yes
