,ChEMBL_ID,smiles,pIC50
167,CHEMBL1914461,Br.Oc1ccc(cc1)c2cc3c(NCc4ccccc4)ncnc3[nH]2,8.481486060122112
168,CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(cc12)c3ccccc3)c4ccccc4,8.481486060122112
169,CHEMBL39715,COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.468521082957745
170,CHEMBL3403517,COc1ccc2N(CCCc2c1)c3nc(C)nc4oc(C)cc34,8.468521082957745
171,CHEMBL36164,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.455931955649724
172,CHEMBL3805859,CCOc1cc2ncnc(Nc3ccc(C)cc3)c2c4OCCOc14,8.443697499232712
173,CHEMBL1914653,Br.C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4ccccc4,8.431798275933005
174,CHEMBL40130,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN5CCOCC5)cc23)c1,8.431798275933005
175,CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN5CCOCC5)cc23)c1,8.431798275933005
176,CHEMBL1914654,Br.C[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4ccc(F)cc4,8.42021640338319
177,CHEMBL94431,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,8.42021640338319
178,CHEMBL3892567,OC[C@@H](Nc1ncnc2oc(cc12)c3ccccc3)c4ccccc4,8.4089353929735
179,CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,8.402304814074487
180,CHEMBL3633774,NC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4cccc(c4)C(F)(F)F)c(Cl)c3)c2c1,8.397940008672037
181,CHEMBL250923,COc1cc2ncnc(\C=C\CCc3ccccc3)c2cc1OC,8.397940008672037
182,CHEMBL209343,CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,8.397940008672037
183,CHEMBL3760071,COC(=O)c1cc(OC)c(c(OC)c1)c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2,8.397940008672037
184,CHEMBL295961,CNc1ccc2cncnc2c1,8.397940008672037
185,CHEMBL3947406,COc1ccccc1c2oc3ncnc(N[C@H](C)c4ccccc4)c3c2,8.397940008672037
186,CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.397940008672037
187,CHEMBL3674151,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc3cnc(Nc4ccc(cc4F)C(=O)NN5CCN(C)CC5)nc13,8.397940008672037
188,CHEMBL3961961,COc1ccc(cc1)c2oc3ncnc(N[C@H](CCO)c4ccccc4)c3c2,8.397940008672037
189,CHEMBL3678952,COc1cccc(Nc2nc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nc3n2C(C)C)c1,8.397940008672037
190,CHEMBL1914665,Br.CC[C@@H](Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4ccccc4,8.397940008672037
191,CHEMBL92812,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.397940008672037
192,CHEMBL545541,Cl.COc1cc2ncnc(NCc3ccccc3)c2cc1OC,8.397940008672037
193,CHEMBL470219,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCC5)cc4)sc23)cc1Cl,8.397940008672037
194,CHEMBL78018,NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2,8.397940008672037
